Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,C19702
"CW1, CW10, CW11, CW12, CW13, CW14, CW15, CW16, CW2, CW3, CW4, CW5, CW6, CW7, CW8, CW9",HL-A-5730,16,HL-A-5730D1W-S1-08-HR3(LY),C210348
"CWS1, CWS10, CWS11, CWS12, CWS13, CWS14, CWS15, CWS16, CWS2, CWS3, CWS4, CWS5, CWS6, CWS7, CWS8, CWS9",0402,16,100n,C1525
G1,Coufal_elektronika_notext_10mm,1,CoufalElektronika_logo,
G2,"VedatoriNew_40x5,7mm",1,Vedatori_logo,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,IDC-Header_2x04_P2.54mm_Horizontal,1,Conn_02x04_Odd_Even,
J2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03,
R1,0402,1,470R,C25117
R2,0402,1,R,C25900
U1,TO-92_Inline,1,DS18B20,
"WS1, WS10, WS11, WS12, WS13, WS14, WS15, WS16, WS2, WS3, WS4, WS5, WS6, WS7, WS8, WS9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,XL-5050RGBC-WS2812B,C2843785
"WW1, WW10, WW11, WW12, WW13, WW14, WW15, WW16, WW2, WW3, WW4, WW5, WW6, WW7, WW8, WW9",HL-A-5730,16,HL-A-5730D34W-S1-08-HR3(LY),C210345
