Designator,Mid X,Mid Y,Rotation,Layer
BZ1,52.578,-86.231,90.0,top
C1,2.921,-53.594,180.0,top
C10,54.158125,-14.2222,90.0,top
C11,25.2984,-4.7752,90.0,top
C12,30.0228,-27.4828,270.0,top
C13,20.4216,-20.32,90.0,top
C14,28.1432,-27.686,270.0,top
C15,53.594,-27.94,270.0,top
C16,14.8336,-12.6114,90.0,top
C17,10.795,-89.154,0.0,top
C18,34.6456,-36.0172,0.0,top
C19,27.8892,-33.9344,90.0,top
C2,3.109,-55.372,180.0,top
C20,35.1536,-14.2748,90.0,top
C21,1.6764,-13.3604,270.0,top
C22,3.429,-15.367,270.0,top
C3,25.136,-45.715,90.0,top
C4,25.654,-88.265,180.0,top
C5,34.417,-88.265,180.0,top
C6,44.45,-92.202,90.0,top
C7,50.038,-67.945,0.0,top
C8,45.727081,-18.8468,0.0,top
C9,26.67,-18.8976,0.0,top
D1,56.261,-73.406,90.0,top
D2,3.696,-57.658,180.0,top
D3,39.4716,-31.0388,90.0,top
D4,21.2344,-3.9116,90.0,top
D5,51.821325,-18.569848,180.0,top
D6,32.8168,-18.6436,180.0,top
G1,26.328141,-42.595174,180.0,bottom
G2,26.543,-25.654,180.0,bottom
G3,31.115,-79.629,0.0,top
G4,29.972,-56.007,0.0,top
J1,20.574,-54.483,270.0,top
J2,44.7548,-4.0735,270.0,top
J7,13.716,-3.1992,180.0,top
J9,43.688,-42.672,0.0,top
L1,45.320681,-15.24,0.0,top
L2,26.2636,-15.2908,0.0,top
Q1,51.308,-72.644,90.0,top
Q2,17.399,-25.908,0.0,top
Q3,13.462,-25.908,180.0,top
Q4,44.389,-34.8465,270.0,top
R1,51.308,-75.438,0.0,top
R10,15.113,-23.368,180.0,top
R11,14.859,-28.448,0.0,top
R12,57.15,-34.847,90.0,top
R13,56.515,-27.051,180.0,top
R14,9.808,-97.028,0.0,top
R15,9.017,-90.932,180.0,top
R16,44.45,-31.877,180.0,top
R17,40.196,-12.954,180.0,top
R18,31.242,-68.961,90.0,top
R19,33.782,-68.961,90.0,top
R2,36.82,-45.715,90.0,top
R21,56.515,-28.829,180.0,top
R22,10.985,-92.68,0.0,top
R3,49.149,-60.579,0.0,top
R4,49.791081,-12.0904,0.0,top
R5,30.48,-11.9888,0.0,top
R8,17.9832,-12.6114,270.0,top
R9,16.4084,-12.6114,270.0,top
RESET1,30.978,-45.715,180.0,top
RV1,5.374,-82.25,90.0,top
SW1,18.868,-97.94,90.0,top
SW2,27.758,-97.94,90.0,top
SW3,36.648,-97.94,90.0,top
U1,9.7536,-41.5544,90.0,top
U2,51.308,-64.897,180.0,bottom
U3,30.0,-63.5,0.0,top
U4,34.4932,-30.4292,270.0,top
U5,14.224,-18.3388,270.0,top
U6,50.451481,-14.7828,0.0,top
U7,31.4452,-14.8336,0.0,top
U8,4.6736,-11.684,0.0,top
